"QuestID","Name","Field","Cur","Target","Decision","Reason"
"44885","Shipwrecked Survivors","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"50396","A Pterrible Fate","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"50397","Aerial Aspirations","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"50886","Surrogate Wings","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"50887","Ptrust Fall","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"50900","Maybe When You're Older","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"50930","Falling With Style","faction","0","2","FIX","faction=0 hid it from everyone; API asserts Horde"
"55516","Spark of Genius","class","0","4","FIX","class=0 hid it from everyone; API asserts Hunter (wago POI agrees for sibling 54913)"
"13289","That's Abominable!","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"13289","That's Abominable!","race","64175181","61658034","FIX","follows faction flip (was the Alliance-races mask)"
"25697","The Amulet of Allistarj","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"25697","The Amulet of Allistarj","race","64175181","61658034","FIX","follows faction flip (was the Alliance-races mask)"
"50112","Casting the First Stone","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51230","Emergency Transplants","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51243","Breaking The Food Chain","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51478","Ghost Busting","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51481","More Anchor Pods","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51482","Seeking More Knowledge","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51498","Cultural Significance","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"51503","Gathering Mementos","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"52046","An Exceptional Platinum Shard","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
"53442","The Castaways","faction","1","2","FIX","Alliance/Horde pair: API gives this ID Horde and its same-name twin Alliance; ours had both Alliance"
