"QuestID","Name","Field","Cur","Target","Decision","Reason"
"45742","The Colossus of Zora","faction","0","1","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"45742","The Colossus of Zora","race","67108863","64175181","FIX","the client's task-quest filter gives this faction's races"
"50633","Pterrible Ingredients","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"50633","Pterrible Ingredients","race","67108863","61658034","FIX","the client's task-quest filter gives this faction's races"
"50665","Cancel the Blood Troll Apocalypse","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"50665","Cancel the Blood Troll Apocalypse","race","0","61658034","FIX","the client's task-quest filter gives this faction's races"
"50667","Past Due","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"50667","Past Due","race","0","61658034","FIX","the client's task-quest filter gives this faction's races"
"50747","No Good Amani","faction","0","1","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"50747","No Good Amani","race","67108863","64175181","FIX","the client's task-quest filter gives this faction's races"
"51176","Unaccounted For","faction","0","1","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"51176","Unaccounted For","race","0","64175181","FIX","the client's task-quest filter gives this faction's races"
"51180","Instructions Not Included","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"51180","Instructions Not Included","race","0","61658034","FIX","the client's task-quest filter gives this faction's races"
"51315","Wild Flutterbies","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"51315","Wild Flutterbies","race","0","61658034","FIX","the client's task-quest filter gives this faction's races"
"51475","Brutal Escort","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"51475","Brutal Escort","race","67108863","61658034","FIX","the client's task-quest filter gives this faction's races"
"51494","The Blood Gate","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"51494","The Blood Gate","race","67108863","61658034","FIX","the client's task-quest filter gives this faction's races"
"52251","Compromised Reconnaissance","faction","0","1","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"52251","Compromised Reconnaissance","race","67108863","64175181","FIX","the client's task-quest filter gives this faction's races"
"52408","Work Order: Kyanite","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"52408","Work Order: Kyanite","race","67108863","61658034","FIX","the client's task-quest filter gives this faction's races"
"54612","Blood and Ashes","faction","0","2","FIX","faction=0 hid it from everyone; the client's task-quest filter names this faction"
"54612","Blood and Ashes","race","67108863","61658034","FIX","the client's task-quest filter gives this faction's races"
"39742","Vault of the Wardens","faction","0","3","FIX","faction=0/race=0 hid it from everyone (the PR #12 sentinel bug); no faction restriction"
"39742","Vault of the Wardens","race","0","67108863","FIX","faction=0/race=0 hid it from everyone (the PR #12 sentinel bug); no race restriction"
"39742","Vault of the Wardens","class","8191","2048","FIX","Demon Hunter starting scenario; the client's filter says Demon Hunter"
"54598","Thundering Goliath","faction","2","1","FIX","warfront/world quest faction conflict: twin 54593 is Horde in the client filter; ours had both Horde"
"54598","Thundering Goliath","race","61658034","64175181","FIX","follows faction change (client filter's races)"
"54614","Executing Exorcisms","faction","1","2","FIX","warfront/world quest faction conflict: twin 54622 is Alliance in the client filter; ours had both Alliance"
"54614","Executing Exorcisms","race","64175181","61658034","FIX","follows faction change (client filter's races)"
"51578","The Sea Runs Red","faction","1","2","FIX","warfront/world quest faction conflict: no twin in our DB; the client's task-quest filter names this faction"
"51578","The Sea Runs Red","race","67108863","61658034","FIX","follows faction change (client filter's races)"
"54540","Doomrider Helgrim","faction","2","1","FIX","warfront/world quest faction conflict: no twin in our DB; the client's task-quest filter names this faction"
"54540","Doomrider Helgrim","race","61658034","64175181","FIX","follows faction change (client filter's races)"
"44846","Clearing the Path","class","8191","8189","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45178","Contagion Containment","class","8191","8175","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45550","Salving the Corruption","class","8191","8187","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45626","Set You Up the Bomb!","class","8191","8063","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45744","Fall of the Felskorn","class","8191","8190","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45792","Occultist Onslaught","class","8191","7935","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45805","The Burning Keys","class","8191","8183","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45837","Creeping Fel","class","8191","8175","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45930","We Didn't Start the Fire","class","8191","8127","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45973","Unchecked Power","class","8191","8063","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"45977","Where There is a Whip...","class","8191","7935","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46001","Rules of the Hunt","class","8191","7679","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46032","The Tormented Return","class","8191","8159","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46076","Restless Spirits","class","8191","8189","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46105","Arachnid Superiority","class","8191","7167","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46212","Get Them Up","class","8191","8187","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46360","Simply Stunning","class","8191","8183","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46756","Mission: Felrage Destruction","class","8191","8190","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46761","Brew Bandits","class","8191","7167","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46814","Call of the Frostwyrm","class","8191","8159","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46829","Elemental Abuse","class","8191","8127","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
"46833","Nature Unshackled","class","8191","7679","FIX","Broken Shore generic version: excludes the one class with its own version (client filter), Evoker kept (pre-Evoker list)"
